               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11111,            0.027737,                   0,          0.00036585,               0.375,          0.00042035,          0.00010832,            0.092165,            0.014879,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.091175,            0.023278,                   0,          0.00077236,             0.79167,            0.018853,           0.0047035,            0.076191,           0.0090648,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.078008,             0.02055,                   0,            0.094798,             0.16667,            0.054529,            0.011057,            0.072169,           0.0073093,                   0,            0.041243,           0.0062426,           0.0062426
                   3,             0.06952,            0.018936,                   0,             0.10605,             0.29167,             0.10032,             0.02939,            0.066836,           0.0061671,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.064455,            0.018926,                   0,             0.14334,               0.375,            0.098691,            0.028106,            0.069414,           0.0052859,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.061001,            0.017991,                   0,            0.092878,             0.45833,            0.086035,            0.023866,            0.068477,           0.0050763,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.054557,            0.017068,                   0,             0.22923,             0.41667,             0.21826,            0.091119,            0.050067,           0.0061418,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050216,            0.015475,                   0,             0.26513,             0.54167,             0.28776,             0.11086,             0.05231,           0.0046591,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049291,            0.015441,                   0,             0.28339,             0.54167,             0.29052,             0.12584,            0.041932,           0.0060649,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046539,            0.014286,                   0,             0.29734,             0.49382,              0.3042,             0.11887,            0.043581,           0.0045379,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044632,            0.013054,                   0,             0.29324,             0.58333,             0.30531,             0.11932,            0.047708,           0.0045779,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042311,            0.011854,                   0,             0.25156,                0.75,              0.3613,             0.14041,            0.045531,           0.0050922,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.042166,            0.010874,                   0,             0.30006,             0.83333,             0.33299,             0.15219,            0.041692,           0.0045781,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040942,            0.010465,                   0,             0.26603,             0.83333,             0.28121,             0.13499,            0.040308,           0.0047693,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038656,           0.0097662,                   0,             0.29194,             0.66667,             0.37061,             0.19199,              0.0369,           0.0040011,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038801,           0.0098635,                   0,             0.26895,             0.87375,             0.31813,             0.14335,            0.041498,           0.0045287,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.038026,           0.0099585,                   0,             0.27214,               0.875,             0.32928,              0.1542,            0.038783,           0.0042709,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036243,           0.0090288,                   0,             0.28064,             0.94291,             0.35651,             0.15104,            0.038649,           0.0044847,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036864,           0.0096349,                   0,             0.24447,             0.79167,             0.24943,             0.12256,            0.038689,           0.0043678,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032967,           0.0091939,                   0,             0.26163,               0.875,             0.29623,             0.15387,            0.037063,           0.0049695,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034476,           0.0082748,                   0,             0.28007,             0.95833,              0.3232,             0.18062,            0.035746,           0.0042933,                   0,            0.006238,            0.006238,            0.006238
